play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,duration_minutes,session_date
35,484,2024-07-03 05:53:55.400000-06:00,2024-07-03 14:51:55.400000-06:00,BROWSER,COMPLETED,2352,538.0,2024-07-03
36,343,2024-11-11 23:24:40.268000-06:00,2024-11-12 07:37:40.268000-06:00,BROWSER,COMPLETED,872,493.0,2024-11-11
37,145,2024-12-22 02:51:39.212000-06:00,2024-12-22 08:19:39.212000-06:00,BROWSER,COMPLETED,4952,328.0,2024-12-22
38,132,2024-08-01 13:18:29.334000-06:00,2024-08-01 18:12:29.334000-06:00,BROWSER,COMPLETED,3750,294.0,2024-08-01
39,156,2024-11-21 06:08:33.562000-06:00,2024-11-21 08:44:33.562000-06:00,MOBILE,ABORTED,2273,156.0,2024-11-21
40,25,2024-07-26 07:37:23.338000-06:00,2024-07-26 11:51:23.338000-06:00,BROWSER,COMPLETED,2081,254.0,2024-07-26
41,266,2024-10-04 01:28:12.772000-06:00,2024-10-04 09:06:12.772000-06:00,MOBILE,TIMEOUT,2909,458.0,2024-10-04
42,293,2024-03-29 07:49:20.432000-06:00,2024-03-29 16:12:20.432000-06:00,MOBILE,ABORTED,4537,503.0,2024-03-29
43,424,2024-02-18 18:19:14.321000-06:00,2024-02-18 20:19:14.321000-06:00,MOBILE,TIMEOUT,4630,120.0,2024-02-18
44,319,2024-07-12 08:33:47.505000-06:00,2024-07-12 17:57:47.505000-06:00,MOBILE,TIMEOUT,3985,564.0,2024-07-12
45,183,2024-11-12 10:12:42.985000-06:00,2024-11-12 13:59:42.985000-06:00,BROWSER,ABORTED,1128,227.0,2024-11-12
46,301,2024-02-10 13:38:00.583000-06:00,2024-02-10 20:08:00.583000-06:00,BROWSER,COMPLETED,2385,390.0,2024-02-10
47,440,2024-06-12 19:16:59.881000-06:00,2024-06-13 00:19:59.881000-06:00,BROWSER,COMPLETED,4494,303.0,2024-06-12
48,398,2024-04-30 14:32:46.112000-06:00,2024-04-30 19:42:46.112000-06:00,MOBILE,TIMEOUT,4080,310.0,2024-04-30
49,132,2024-12-29 23:07:45.409000-06:00,2024-12-30 03:03:45.409000-06:00,MOBILE,COMPLETED,2469,236.0,2024-12-29
50,3,2024-10-22 01:13:05.712000-06:00,2024-10-22 08:57:05.712000-06:00,BROWSER,COMPLETED,734,464.0,2024-10-22
51,486,2024-07-22 03:11:09.831000-06:00,2024-07-22 06:33:09.831000-06:00,BROWSER,COMPLETED,692,202.0,2024-07-22
52,131,2024-09-23 01:51:27.888000-06:00,2024-09-23 08:37:27.888000-06:00,MOBILE,TIMEOUT,483,406.0,2024-09-23
53,131,2024-12-08 10:24:16.268000-06:00,2024-12-08 15:52:16.268000-06:00,BROWSER,COMPLETED,2528,328.0,2024-12-08
54,385,2024-02-05 18:02:16.009000-06:00,2024-02-05 23:52:16.009000-06:00,BROWSER,COMPLETED,4697,350.0,2024-02-05
55,159,2024-09-26 09:53:19.984000-06:00,2024-09-26 18:50:19.984000-06:00,BROWSER,ABORTED,561,537.0,2024-09-26
56,299,2024-11-23 13:43:55.298000-06:00,2024-11-23 17:45:55.298000-06:00,MOBILE,ABORTED,3128,242.0,2024-11-23
57,471,2024-08-04 15:56:58.067000-06:00,2024-08-04 18:48:58.067000-06:00,MOBILE,COMPLETED,1258,172.0,2024-08-04
58,419,2024-12-08 08:18:18.975000-06:00,2024-12-08 17:22:18.975000-06:00,MOBILE,COMPLETED,4796,544.0,2024-12-08
59,359,2024-01-30 01:10:33.605000-06:00,2024-01-30 09:59:33.605000-06:00,MOBILE,ABORTED,1196,529.0,2024-01-30
60,259,2024-10-06 11:11:46.487000-06:00,2024-10-06 18:30:46.487000-06:00,BROWSER,ABORTED,4923,439.0,2024-10-06
61,167,2024-11-07 17:27:54.401000-06:00,2024-11-07 21:12:54.401000-06:00,BROWSER,COMPLETED,1376,225.0,2024-11-07
62,307,2024-03-12 15:52:11.168000-06:00,2024-03-12 16:45:11.168000-06:00,MOBILE,TIMEOUT,276,53.0,2024-03-12
63,260,2024-01-30 12:17:49.549000-06:00,2024-01-30 16:24:49.549000-06:00,BROWSER,COMPLETED,2289,247.0,2024-01-30
64,20,2024-08-26 10:59:00.072000-06:00,2024-08-26 15:42:00.072000-06:00,MOBILE,TIMEOUT,4182,283.0,2024-08-26
65,189,2024-01-14 06:48:45.321000-06:00,2024-01-14 08:42:45.321000-06:00,MOBILE,TIMEOUT,2662,114.0,2024-01-14
66,201,2024-11-04 05:57:16.661000-06:00,2024-11-04 13:35:16.661000-06:00,MOBILE,TIMEOUT,4745,458.0,2024-11-04
67,419,2024-12-26 22:15:21.594000-06:00,2024-12-27 05:14:21.594000-06:00,BROWSER,TIMEOUT,1385,419.0,2024-12-26
68,98,2024-09-23 09:48:14.908000-06:00,2024-09-23 14:51:14.908000-06:00,MOBILE,COMPLETED,718,303.0,2024-09-23
69,159,2024-11-29 20:35:46.259000-06:00,2024-11-30 06:26:46.259000-06:00,MOBILE,COMPLETED,4064,591.0,2024-11-29
70,199,2024-08-08 23:15:45.966000-06:00,2024-08-09 06:36:45.966000-06:00,BROWSER,COMPLETED,1185,441.0,2024-08-08
71,68,2024-10-06 17:38:23.459000-06:00,2024-10-06 22:25:23.459000-06:00,MOBILE,COMPLETED,2592,287.0,2024-10-06
72,131,2024-12-09 00:23:49.795000-06:00,2024-12-09 03:17:49.795000-06:00,MOBILE,TIMEOUT,1839,174.0,2024-12-09
73,370,2024-03-17 02:48:09.219000-06:00,2024-03-17 11:43:09.219000-06:00,MOBILE,COMPLETED,4134,535.0,2024-03-17
74,68,2024-11-11 14:18:42.482000-06:00,2024-11-12 00:02:42.482000-06:00,MOBILE,ABORTED,4734,584.0,2024-11-11
75,438,2024-02-17 17:44:17.598000-06:00,2024-02-17 20:44:17.598000-06:00,MOBILE,ABORTED,1181,180.0,2024-02-17
76,144,2024-11-06 22:21:03.502000-06:00,2024-11-07 04:45:03.502000-06:00,BROWSER,COMPLETED,2648,384.0,2024-11-06
77,9,2024-02-08 10:43:18.384000-06:00,2024-02-08 16:03:18.384000-06:00,MOBILE,TIMEOUT,2319,320.0,2024-02-08
78,140,2024-12-21 14:01:36.341000-06:00,2024-12-21 15:50:36.341000-06:00,MOBILE,TIMEOUT,4868,109.0,2024-12-21
79,149,2024-12-25 20:10:51.386000-06:00,2024-12-26 01:41:51.386000-06:00,BROWSER,COMPLETED,3524,331.0,2024-12-25
80,188,2024-04-17 00:58:52.279000-06:00,2024-04-17 05:39:52.279000-06:00,MOBILE,TIMEOUT,2937,281.0,2024-04-17
81,375,2024-07-13 02:31:27.900000-06:00,2024-07-13 08:37:27.900000-06:00,MOBILE,COMPLETED,793,366.0,2024-07-13
82,258,2024-10-13 11:15:06.485000-06:00,2024-10-13 18:12:06.485000-06:00,BROWSER,TIMEOUT,1051,417.0,2024-10-13
83,400,2024-08-20 01:38:05.505000-06:00,2024-08-20 05:48:05.505000-06:00,MOBILE,ABORTED,2501,250.0,2024-08-20
84,138,2024-05-26 21:16:24.939000-06:00,2024-05-26 21:57:24.939000-06:00,BROWSER,ABORTED,433,41.0,2024-05-26
85,274,2024-03-23 08:41:39.403000-06:00,2024-03-23 10:32:39.403000-06:00,MOBILE,ABORTED,3192,111.0,2024-03-23
86,269,2024-12-30 04:34:17.339000-06:00,2024-12-30 11:48:17.339000-06:00,MOBILE,TIMEOUT,4758,434.0,2024-12-30
87,279,2024-09-25 18:50:48.744000-06:00,2024-09-26 04:33:48.744000-06:00,MOBILE,ABORTED,4815,583.0,2024-09-25
88,308,2024-10-30 09:34:54.465000-06:00,2024-10-30 10:47:54.465000-06:00,MOBILE,ABORTED,2294,73.0,2024-10-30
89,210,2024-04-07 05:03:37.500000-06:00,2024-04-07 12:23:37.500000-06:00,BROWSER,COMPLETED,1307,440.0,2024-04-07
90,489,2024-05-21 19:59:55.306000-06:00,2024-05-21 23:11:55.306000-06:00,BROWSER,TIMEOUT,1146,192.0,2024-05-21
91,127,2024-08-20 21:05:24.126000-06:00,2024-08-21 05:21:24.126000-06:00,BROWSER,TIMEOUT,3440,496.0,2024-08-20
92,422,2024-11-01 20:30:21.857000-06:00,2024-11-02 03:36:21.857000-06:00,BROWSER,TIMEOUT,4819,426.0,2024-11-01
93,46,2024-05-30 07:49:21.486000-06:00,2024-05-30 07:57:21.486000-06:00,MOBILE,ABORTED,1095,8.0,2024-05-30
94,73,2024-02-28 08:35:40.578000-06:00,2024-02-28 10:43:40.578000-06:00,BROWSER,ABORTED,2691,128.0,2024-02-28
95,330,2024-01-15 15:42:06.737000-06:00,2024-01-15 23:20:06.737000-06:00,MOBILE,COMPLETED,4830,458.0,2024-01-15
96,343,2024-11-19 03:20:55.348000-06:00,2024-11-19 09:04:55.348000-06:00,MOBILE,COMPLETED,1009,344.0,2024-11-19
97,89,2024-06-20 13:43:50.596000-06:00,2024-06-20 14:25:50.596000-06:00,MOBILE,COMPLETED,3898,42.0,2024-06-20
98,420,2024-01-24 02:40:22.195000-06:00,2024-01-24 05:47:22.195000-06:00,BROWSER,COMPLETED,2614,187.0,2024-01-24
99,313,2024-10-16 20:27:21.411000-06:00,2024-10-17 05:18:21.411000-06:00,MOBILE,ABORTED,4957,531.0,2024-10-16
100,333,2024-05-06 22:41:11.882000-06:00,2024-05-07 06:23:11.882000-06:00,BROWSER,COMPLETED,4229,462.0,2024-05-06
101,109,2024-07-27 23:56:02.919000-06:00,2024-07-28 07:10:02.919000-06:00,BROWSER,COMPLETED,1891,434.0,2024-07-27
102,381,2024-02-11 22:37:40.079000-06:00,2024-02-12 01:08:40.079000-06:00,BROWSER,ABORTED,1050,151.0,2024-02-11
103,173,2024-12-16 05:34:31.439000-06:00,2024-12-16 10:11:31.439000-06:00,BROWSER,TIMEOUT,1438,277.0,2024-12-16
104,222,2024-12-18 20:32:39.673000-06:00,2024-12-18 21:39:39.673000-06:00,BROWSER,ABORTED,2373,67.0,2024-12-18
105,276,2024-11-30 08:26:27.920000-06:00,2024-11-30 09:04:27.920000-06:00,MOBILE,ABORTED,2372,38.0,2024-11-30
106,500,2024-09-19 22:24:37.192000-06:00,2024-09-20 05:40:37.192000-06:00,BROWSER,TIMEOUT,1842,436.0,2024-09-19
107,86,2024-10-02 04:41:22.205000-06:00,2024-10-02 10:31:22.205000-06:00,MOBILE,COMPLETED,1785,350.0,2024-10-02
108,50,2024-09-23 22:29:18.360000-06:00,2024-09-24 06:01:18.360000-06:00,MOBILE,ABORTED,1170,452.0,2024-09-23
109,179,2024-08-19 09:31:33.940000-06:00,2024-08-19 13:26:33.940000-06:00,BROWSER,ABORTED,1716,235.0,2024-08-19
110,81,2024-08-01 02:52:58.208000-06:00,2024-08-01 12:41:58.208000-06:00,BROWSER,COMPLETED,859,589.0,2024-08-01
111,392,2024-10-16 22:46:16.300000-06:00,2024-10-17 03:38:16.300000-06:00,BROWSER,COMPLETED,640,292.0,2024-10-16
112,195,2024-06-29 07:00:12.004000-06:00,2024-06-29 07:53:12.004000-06:00,BROWSER,COMPLETED,3863,53.0,2024-06-29
113,145,2024-12-27 08:24:42.416000-06:00,2024-12-27 16:19:42.416000-06:00,MOBILE,TIMEOUT,3338,475.0,2024-12-27
114,288,2024-02-06 13:09:55.901000-06:00,2024-02-06 14:37:55.901000-06:00,MOBILE,ABORTED,4413,88.0,2024-02-06
115,307,2024-06-12 19:21:15.943000-06:00,2024-06-13 01:11:15.943000-06:00,BROWSER,COMPLETED,3710,350.0,2024-06-12
116,126,2024-11-20 22:12:29.568000-06:00,2024-11-21 02:31:29.568000-06:00,BROWSER,ABORTED,3504,259.0,2024-11-20
117,220,2024-03-12 04:21:31.596000-06:00,2024-03-12 12:24:31.596000-06:00,MOBILE,ABORTED,1303,483.0,2024-03-12
118,418,2024-06-26 10:33:16.725000-06:00,2024-06-26 11:37:16.725000-06:00,MOBILE,COMPLETED,772,64.0,2024-06-26
119,401,2024-05-25 01:22:43.518000-06:00,2024-05-25 01:59:43.518000-06:00,MOBILE,ABORTED,2038,37.0,2024-05-25
120,34,2024-09-27 12:30:42.793000-06:00,2024-09-27 21:50:42.793000-06:00,BROWSER,ABORTED,2854,560.0,2024-09-27
121,313,2024-12-20 05:47:50.251000-06:00,2024-12-20 11:16:50.251000-06:00,BROWSER,TIMEOUT,4128,329.0,2024-12-20
122,302,2024-06-18 05:47:26.230000-06:00,2024-06-18 09:30:26.230000-06:00,MOBILE,ABORTED,214,223.0,2024-06-18
123,167,2024-12-16 09:22:00.731000-06:00,2024-12-16 12:10:00.731000-06:00,MOBILE,COMPLETED,2542,168.0,2024-12-16
124,134,2024-09-25 20:03:10.865000-06:00,2024-09-26 03:36:10.865000-06:00,MOBILE,TIMEOUT,2201,453.0,2024-09-25
125,288,2024-08-27 21:58:42.176000-06:00,2024-08-28 05:42:42.176000-06:00,BROWSER,ABORTED,2948,464.0,2024-08-27
126,252,2024-11-17 04:48:00.344000-06:00,2024-11-17 08:09:00.344000-06:00,MOBILE,COMPLETED,3328,201.0,2024-11-17
127,88,2024-07-10 18:56:42.681000-06:00,2024-07-11 03:44:42.681000-06:00,BROWSER,TIMEOUT,4809,528.0,2024-07-10
128,240,2024-01-12 05:30:10.875000-06:00,2024-01-12 12:26:10.875000-06:00,BROWSER,COMPLETED,3515,416.0,2024-01-12
129,369,2024-10-10 15:44:13.376000-06:00,2024-10-10 19:09:13.376000-06:00,BROWSER,TIMEOUT,551,205.0,2024-10-10
130,207,2024-10-24 06:57:56.734000-06:00,2024-10-24 09:27:56.734000-06:00,BROWSER,TIMEOUT,1961,150.0,2024-10-24
131,114,2024-07-19 16:28:05.883000-06:00,2024-07-19 20:22:05.883000-06:00,BROWSER,COMPLETED,1092,234.0,2024-07-19
132,412,2024-09-10 08:07:07.170000-06:00,2024-09-10 15:41:07.170000-06:00,MOBILE,ABORTED,2892,454.0,2024-09-10
133,401,2024-12-01 06:52:45.948000-06:00,2024-12-01 07:13:45.948000-06:00,BROWSER,ABORTED,461,21.0,2024-12-01
134,211,2024-10-09 17:41:57.180000-06:00,2024-10-09 18:55:57.180000-06:00,BROWSER,COMPLETED,4057,74.0,2024-10-09
135,407,2024-06-07 14:34:40.309000-06:00,2024-06-07 23:11:40.309000-06:00,MOBILE,ABORTED,2673,517.0,2024-06-07
136,234,2024-06-01 21:18:12.285000-06:00,2024-06-01 22:18:12.285000-06:00,BROWSER,ABORTED,4816,60.0,2024-06-01
137,278,2024-05-17 15:29:48.603000-06:00,2024-05-17 20:04:48.603000-06:00,MOBILE,ABORTED,4265,275.0,2024-05-17
138,270,2024-01-21 09:18:13.326000-06:00,2024-01-21 16:21:13.326000-06:00,BROWSER,TIMEOUT,2708,423.0,2024-01-21
139,163,2024-05-21 15:37:32.076000-06:00,2024-05-21 19:35:32.076000-06:00,MOBILE,TIMEOUT,3929,238.0,2024-05-21
140,301,2024-10-05 06:14:39.717000-06:00,2024-10-05 12:05:39.717000-06:00,BROWSER,ABORTED,3016,351.0,2024-10-05
141,307,2024-12-17 15:18:57.327000-06:00,2024-12-17 20:03:57.327000-06:00,BROWSER,COMPLETED,4619,285.0,2024-12-17
142,434,2024-10-21 15:19:21.743000-06:00,2024-10-21 20:35:21.743000-06:00,BROWSER,COMPLETED,4213,316.0,2024-10-21
143,201,2024-12-12 22:52:44.055000-06:00,2024-12-12 23:46:44.055000-06:00,BROWSER,ABORTED,1079,54.0,2024-12-12
144,207,2024-11-30 14:15:20.742000-06:00,2024-11-30 16:24:20.742000-06:00,BROWSER,ABORTED,1702,129.0,2024-11-30
145,96,2024-01-22 01:56:07.370000-06:00,2024-01-22 09:22:07.370000-06:00,BROWSER,ABORTED,711,446.0,2024-01-22
146,441,2024-05-09 05:06:42.530000-06:00,2024-05-09 10:30:42.530000-06:00,MOBILE,COMPLETED,1200,324.0,2024-05-09
147,34,2024-12-02 13:09:07.594000-06:00,2024-12-02 18:22:07.594000-06:00,BROWSER,COMPLETED,3151,313.0,2024-12-02
148,41,2024-04-17 00:28:11.962000-06:00,2024-04-17 05:04:11.962000-06:00,MOBILE,ABORTED,3049,276.0,2024-04-17
149,221,2024-05-01 03:04:21.055000-06:00,2024-05-01 08:15:21.055000-06:00,MOBILE,COMPLETED,2689,311.0,2024-05-01
150,25,2024-09-06 15:14:06.894000-06:00,2024-09-06 18:50:06.894000-06:00,BROWSER,TIMEOUT,3583,216.0,2024-09-06
151,474,2024-06-16 08:35:54.944000-06:00,2024-06-16 14:56:54.944000-06:00,BROWSER,ABORTED,4199,381.0,2024-06-16
152,431,2024-10-26 16:37:21.879000-06:00,2024-10-26 22:40:21.879000-06:00,BROWSER,TIMEOUT,4928,363.0,2024-10-26
153,390,2024-11-06 00:12:23.727000-06:00,2024-11-06 04:27:23.727000-06:00,BROWSER,TIMEOUT,258,255.0,2024-11-06
154,402,2024-07-06 12:10:57.021000-06:00,2024-07-06 13:27:57.021000-06:00,BROWSER,ABORTED,4213,77.0,2024-07-06
155,274,2024-10-31 02:46:56.259000-06:00,2024-10-31 06:55:56.259000-06:00,MOBILE,TIMEOUT,2731,249.0,2024-10-31
156,31,2024-09-11 20:50:51.766000-06:00,2024-09-12 04:45:51.766000-06:00,BROWSER,TIMEOUT,2941,475.0,2024-09-11
157,418,2024-09-06 19:07:05.119000-06:00,2024-09-06 21:06:05.119000-06:00,BROWSER,COMPLETED,4460,119.0,2024-09-06
158,341,2024-01-07 04:06:27.410000-06:00,2024-01-07 06:15:27.410000-06:00,BROWSER,ABORTED,1390,129.0,2024-01-07
159,118,2024-12-18 10:54:01.078000-06:00,2024-12-18 11:58:01.078000-06:00,BROWSER,COMPLETED,2164,64.0,2024-12-18
160,104,2024-11-02 08:44:40.086000-06:00,2024-11-02 09:47:40.086000-06:00,MOBILE,ABORTED,1211,63.0,2024-11-02
161,73,2024-03-12 18:13:21.028000-06:00,2024-03-12 21:34:21.028000-06:00,MOBILE,ABORTED,2054,201.0,2024-03-12
162,31,2024-12-08 16:07:50.456000-06:00,2024-12-08 16:50:50.456000-06:00,BROWSER,COMPLETED,546,43.0,2024-12-08
163,287,2024-10-30 03:45:05.659000-06:00,2024-10-30 10:53:05.659000-06:00,MOBILE,COMPLETED,1764,428.0,2024-10-30
164,305,2024-06-08 20:48:56.823000-06:00,2024-06-09 04:00:56.823000-06:00,MOBILE,TIMEOUT,3633,432.0,2024-06-08
165,41,2024-10-29 22:21:48.441000-06:00,2024-10-30 04:32:48.441000-06:00,MOBILE,TIMEOUT,3386,371.0,2024-10-29
166,499,2024-09-23 19:10:09.681000-06:00,2024-09-24 03:23:09.681000-06:00,MOBILE,COMPLETED,1608,493.0,2024-09-23
167,310,2024-02-10 20:49:02.800000-06:00,2024-02-10 21:49:02.800000-06:00,MOBILE,COMPLETED,1831,60.0,2024-02-10
168,476,2024-08-19 08:23:55.487000-06:00,2024-08-19 12:02:55.487000-06:00,MOBILE,TIMEOUT,276,219.0,2024-08-19
170,297,2024-08-15 22:27:18.939000-06:00,2024-08-16 01:53:18.939000-06:00,MOBILE,COMPLETED,2036,206.0,2024-08-15
171,241,2024-11-26 19:15:07.282000-06:00,2024-11-26 20:51:07.282000-06:00,MOBILE,ABORTED,2125,96.0,2024-11-26
172,333,2024-10-26 11:39:28.045000-06:00,2024-10-26 17:38:28.045000-06:00,BROWSER,COMPLETED,2570,359.0,2024-10-26
173,253,2024-11-01 20:12:58.700000-06:00,2024-11-01 21:54:58.700000-06:00,BROWSER,TIMEOUT,1126,102.0,2024-11-01
174,410,2024-06-19 15:28:48.122000-06:00,2024-06-20 01:18:48.122000-06:00,BROWSER,ABORTED,564,590.0,2024-06-19
175,447,2024-06-06 19:07:30.936000-06:00,2024-06-07 00:52:30.936000-06:00,MOBILE,TIMEOUT,764,345.0,2024-06-06
176,496,2024-01-29 19:30:37.110000-06:00,2024-01-30 04:09:37.110000-06:00,BROWSER,ABORTED,3987,519.0,2024-01-29
177,408,2024-12-16 11:07:50.837000-06:00,2024-12-16 17:17:50.837000-06:00,BROWSER,ABORTED,2506,370.0,2024-12-16
178,460,2024-08-05 19:51:13.458000-06:00,2024-08-05 20:02:13.458000-06:00,BROWSER,TIMEOUT,4515,11.0,2024-08-05
179,367,2024-06-29 18:53:53.877000-06:00,2024-06-30 01:54:53.877000-06:00,BROWSER,ABORTED,4016,421.0,2024-06-29
180,110,2024-03-28 13:58:10.051000-06:00,2024-03-28 23:44:10.051000-06:00,MOBILE,ABORTED,2975,586.0,2024-03-28
181,159,2024-12-20 00:01:39.796000-06:00,2024-12-20 06:55:39.796000-06:00,MOBILE,ABORTED,746,414.0,2024-12-20
182,59,2024-10-16 22:26:10.932000-06:00,2024-10-17 01:49:10.932000-06:00,BROWSER,TIMEOUT,300,203.0,2024-10-16
183,408,2024-12-21 18:58:36.593000-06:00,2024-12-21 19:06:36.593000-06:00,BROWSER,ABORTED,1073,8.0,2024-12-21
184,184,2024-11-17 11:49:13.317000-06:00,2024-11-17 13:54:13.317000-06:00,BROWSER,COMPLETED,145,125.0,2024-11-17
185,137,2024-07-24 06:26:03.537000-06:00,2024-07-24 07:52:03.537000-06:00,MOBILE,ABORTED,4095,86.0,2024-07-24
186,209,2024-11-27 15:40:07.846000-06:00,2024-11-27 23:34:07.846000-06:00,MOBILE,COMPLETED,3675,474.0,2024-11-27
187,345,2024-05-20 02:52:11.132000-06:00,2024-05-20 12:11:11.132000-06:00,MOBILE,COMPLETED,3170,559.0,2024-05-20
188,443,2024-12-27 15:21:34.150000-06:00,2024-12-27 22:42:34.150000-06:00,MOBILE,COMPLETED,4877,441.0,2024-12-27
189,281,2024-09-23 08:19:19.681000-06:00,2024-09-23 15:47:19.681000-06:00,BROWSER,TIMEOUT,3069,448.0,2024-09-23
190,454,2024-02-09 16:01:22.872000-06:00,2024-02-09 19:45:22.872000-06:00,MOBILE,COMPLETED,654,224.0,2024-02-09
191,446,2024-07-15 05:34:12.134000-06:00,2024-07-15 12:51:12.134000-06:00,MOBILE,ABORTED,3637,437.0,2024-07-15
192,398,2024-07-02 06:59:31.962000-06:00,2024-07-02 08:46:31.962000-06:00,MOBILE,TIMEOUT,396,107.0,2024-07-02
193,265,2024-05-22 03:50:23.442000-06:00,2024-05-22 07:40:23.442000-06:00,BROWSER,ABORTED,1473,230.0,2024-05-22
194,107,2024-09-26 10:13:01.965000-06:00,2024-09-26 17:13:01.965000-06:00,BROWSER,ABORTED,3610,420.0,2024-09-26
195,430,2024-02-18 14:17:02.527000-06:00,2024-02-18 17:57:02.527000-06:00,MOBILE,TIMEOUT,647,220.0,2024-02-18
196,433,2024-08-31 17:45:48.400000-06:00,2024-08-31 22:55:48.400000-06:00,MOBILE,TIMEOUT,154,310.0,2024-08-31
